username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RowanUniversity;2019-04-24 13:46;1;0;"Welcome to the fam! # Rowan2023";;;#;"1121108084267548672";https://twitter.com/RowanUniversity/status/1121108084267548672
RowanUniversity;2019-04-24 12:15;0;7;"Interested in learning more about Graduate and Non-Traditional Programs here at Rowan? @ RowanGlobal will be hanging out in the Chamberlain Student Center today between 12:00 p.m. - 2:00 p.m. Stop by their table to speak with an admissions counselor.";;@;;"1121085145686081541";https://twitter.com/RowanUniversity/status/1121085145686081541
RowanUniversity;2019-04-23 18:22;3;12;"Juggling two jobs, family and school wasn't easy, but for one of our R.N.-to-B.S.N. grads it was worth it. Read more about Teresa Soca '19: https://bit.ly/2IzWcUX pic.twitter.com/iePScLvRVi";;;;"1120815113706012673";https://twitter.com/RowanUniversity/status/1120815113706012673
RowanUniversity;2019-04-23 16:10;0;3;"pic.twitter.com/iGRmj2i5Lq";;;;"1120782101190672385";https://twitter.com/RowanUniversity/status/1120782101190672385
RowanUniversity;2019-04-23 13:09;0;8;"We care about the every day. Check out how some of our chemical engineering students are helping to make coffee go green. https://bit.ly/2ISvKp4 pic.twitter.com/NKkF5PdDK1";;;;"1120736359600332800";https://twitter.com/RowanUniversity/status/1120736359600332800
RowanUniversity;2019-04-23 11:22;0;8;"Look for the large walking around campus for some FREE .https://twitter.com/RowanOWSS/status/1120674161951748096 …";;;;"1120709553627238402";https://twitter.com/RowanUniversity/status/1120709553627238402
RowanUniversity;2019-04-22 20:04;0;2;"We do.pic.twitter.com/M5EqLtOwyk";;;;"1120478431651729408";https://twitter.com/RowanUniversity/status/1120478431651729408
RowanUniversity;2019-04-22 15:34;0;3;"Our application deadline ends May 1.  Apply today: https://bit.ly/2W67kMB pic.twitter.com/qCyOWuEgYP";;;;"1120410637568499719";https://twitter.com/RowanUniversity/status/1120410637568499719
RowanUniversity;2019-04-22 14:03;13;56;"Food trucks Carnival rides Your favorite music artists See you there! Who's ready for Hollybash 2019? # RowanPROUDpic.twitter.com/jyLgZItJQQ";;;#;"1120387606309691392";https://twitter.com/RowanUniversity/status/1120387606309691392
RowanUniversity;2019-04-22 10:48;1;14;"Only days until we welcome the Class of into the @ RowanAlumni family. Don't forget to use # Rowan2019 for a chance to win some prizes. For full contest details visit: http://rowan.edu/2019";;@;#;"1120338696656625664";https://twitter.com/RowanUniversity/status/1120338696656625664
RowanUniversity;2019-04-22 08:51;16;41;"Believe in yourself, Profs. # MotivationMondaypic.twitter.com/2SM3oQ2R3L";;;#;"1120309027685138432";https://twitter.com/RowanUniversity/status/1120309027685138432
RowanUniversity;2019-04-18 16:12;0;6;"+ = BFFhttps://twitter.com/RowanSCCA/status/1118969994531024898 …";;;;"1118970588628946949";https://twitter.com/RowanUniversity/status/1118970588628946949
RowanUniversity;2019-04-18 13:42;1;1;"Great photos, Prof!";;;;"1118932754446671877";https://twitter.com/RowanUniversity/status/1118932754446671877
RowanUniversity;2019-04-18 09:58;0;12;"So many # RowanPROUD Profs!https://twitter.com/RowanAthletics/status/1118875479740751873 …";;;#;"1118876545089773568";https://twitter.com/RowanUniversity/status/1118876545089773568
RowanUniversity;2019-04-18 09:56;0;6;"Way to go @ baals! https://twitter.com/RowanAthletics/status/1118875479740751873 …";;@;;"1118875894192513024";https://twitter.com/RowanUniversity/status/1118875894192513024
RowanUniversity;2019-04-18 09:29;4;80;"“Our first date, we got bagels and came here to the Bunce Green, and had lunch on this bench. Every once in a while we just come here to sit and talk for a little while. We actually met back home in TX, right before transferring to Rowan." Raven '19 and Zach '21 # HumansOfRowanpic.twitter.com/eCaP8Oac3w";;;#;"1118869064988938242";https://twitter.com/RowanUniversity/status/1118869064988938242
RowanUniversity;2019-04-17 10:36;0;0;"Glad you could get this worked out :)";;;;"1118523682618580993";https://twitter.com/RowanUniversity/status/1118523682618580993
RowanUniversity;2019-04-17 10:15;0;4;"Interested in learning more about Graduate and Non-Traditional Programs here at Rowan? @ RowanGlobal will be hanging out in the Chamberlain Student Center today between 12:00 p.m. - 2:00 p.m. Stop by their table to speak with an admissions counselor.";;@;;"1118518231885602817";https://twitter.com/RowanUniversity/status/1118518231885602817
RowanUniversity;2019-04-16 19:52;3;5;"Commencement e-tickets for # Rowan2019 guests are now available for download. Each guest must have a printed ticket with a unique barcode to enter any ceremony requiring tickets. More info here: https://bit.ly/2VLSXg8";;;#;"1118301110589165568";https://twitter.com/RowanUniversity/status/1118301110589165568
RowanUniversity;2019-04-16 18:24;1;20;"“When I decided to transfer I knew where I wanted to go was Rowan University because all of the great things I have heard about its communication programs and lacrosse team. I knew it would be the perfect fit for me.” - Matt '20, Advertising Rowan Blog: https://bit.ly/2XilQAK pic.twitter.com/x7H3qPDU9Y";;;;"1118278900033961984";https://twitter.com/RowanUniversity/status/1118278900033961984
RowanUniversity;2019-04-16 14:10;0;4;"pic.twitter.com/c6LuQYyhUJ";;;;"1118215146684522498";https://twitter.com/RowanUniversity/status/1118215146684522498
RowanUniversity;2019-04-16 12:48;1;4;"The Department of Public Safety, in an effort to maintain a safe environment for all members of the campus community, is requesting your assistance. The survey is short and anonymous: https://bit.ly/2VMcc9e";;;;"1118194341858676736";https://twitter.com/RowanUniversity/status/1118194341858676736
RowanUniversity;2019-04-16 10:03;1;22;"That feeling when you commit to the next 4 years. # Rowan2023https://twitter.com/sortasandy/status/1117979527144194050 …";;;#;"1118152823768854528";https://twitter.com/RowanUniversity/status/1118152823768854528
RowanUniversity;2019-04-16 09:51;0;0;"Hi there, we're sorry to hear your never received your diploma. We suggest reaching out to the Office of the Registrar at 856-256-4350.";;;;"1118150030425305088";https://twitter.com/RowanUniversity/status/1118150030425305088
RowanUniversity;2019-04-15 14:35;0;0;"Hi there, the Commencement schedule can be found here: https://bit.ly/2IAMBN0  For info about the inclement weather procedure for Commencement you can visit here:https://bit.ly/2IpxAhA";;;;"1117858879218569216";https://twitter.com/RowanUniversity/status/1117858879218569216
RowanUniversity;2019-04-15 12:57;0;1;"Congrats, Olivia! Please let us know if you have any questions. # Rowan2023";;;#;"1117834215817715713";https://twitter.com/RowanUniversity/status/1117834215817715713
RowanUniversity;2019-04-15 10:26;5;12;"Hey # Rowan2019, your Commencement tickets are now available to download. Visit http://www.rowan.edu/home/commencement/tickets … # Rowan2019";;;# #;"1117796218997022721";https://twitter.com/RowanUniversity/status/1117796218997022721
RowanUniversity;2019-04-15 09:26;13;33;"Keep on pushing, Profs. # MotivationMondaypic.twitter.com/NePhlvwzWZ";;;#;"1117781121574604801";https://twitter.com/RowanUniversity/status/1117781121574604801
RowanUniversity;2019-04-14 20:00;1;3;"# JonSnow may know nothing but our # GOT alums tell us who they think should take the # IronThrone. # RowanAlumni # ForTheThronepic.twitter.com/b9uaXBc45J";;;# # # # #;"1117578472468164608";https://twitter.com/RowanUniversity/status/1117578472468164608
RowanUniversity;2019-04-14 18:45;0;0;"Alright Profs, here's the big question: Who should take the # IronThrone? # ForTheThronepic.twitter.com/KBjSkZDWXm";;;# #;"1117559416251932678";https://twitter.com/RowanUniversity/status/1117559416251932678
